level,hanzi,pinyin,meaning
4,上午,shàngwǔ,午前
4,少,shǎo,少ない
4,谁,shéi,だれ
4,什么,shénme,何
4,十,shí,10
4,时候,shíhou,時
4,是,shì,〜である
4,书,shū,本
4,水,shuǐ,水
4,水果,shuǐguǒ,果物
4,睡觉,shuìjiào,寝る
4,说话,shuōhuà,話す
4,四,sì,4
4,岁,suì,〜歳
4,太,tài,とても、あまりに〜すぎる
4,天气,tiānqì,天気
4,听,tīng,聞く
4,同学,tóngxué,クラスメート
4,喂,wèi,もしもし
4,我,wǒ,私
4,我们,wǒmen,私たち
4,五,wǔ,5
4,喜欢,xǐhuan,好きだ
4,下,xià,下
4,下午,xiàwǔ,午後
4,下雨,xiàyǔ,雨が降る
4,先生,xiānsheng,〜さん、先生、夫
4,现在,xiànzài,今
4,想,xiǎng,〜したい、思う
4,小,xiǎo,小さい
4,小姐,xiǎojiě,お嬢さん
4,些,xiē,いくつかの
4,写,xiě,書く
4,谢谢,xièxie,ありがとう
4,星期,xīngqī,週、曜日
4,学生,xuésheng,学生
4,学习,xuéxí,勉強する
4,学校,xuéxiào,学校
4,一,yī,1
4,一点儿,yìdiǎnr,少し
4,衣服,yīfu,服
4,医生,yīshēng,医者
4,医院,yīyuàn,病院
4,椅子,yǐzi,椅子
4,有,yǒu,ある、持っている
4,月,yuè,月
4,在,zài,〜にいる、〜にある
4,再见,zàijiàn,さようなら
4,怎么,zěnme,どうやって、どのように
4,怎么样,zěnmeyàng,どうですか
4,这,zhè,これ、ここ
4,中国,Zhōngguó,中国
4,中午,zhōngwǔ,お昼
4,住,zhù,住む
4,桌子,zhuōzi,机
4,字,zì,文字
4,昨天,zuótiān,昨日
4,坐,zuò,座る
4,做,zuò,する、作る
4,吧,ba,(文末)
4,白,bái,白い
4,百,bǎi,百
4,帮助,bāngzhù,助ける
4,报纸,bàozhǐ,新聞
4,比,bǐ,〜より
4,别,bié,〜するな
4,长,cháng,長い
4,唱歌,chànggē,歌う
4,出,chū,出る
4,穿,chuān,着る
4,次,cì,回
4,从,cóng,〜から
4,错,cuò,間違い
4,打篮球,dǎ lánqiú,バスケをする
4,大家,dàjiā,みなさん
4,到,dào,着く
4,得,de,(様態補語)
4,等,děng,待つ
4,弟弟,dìdi,弟
4,第一,dì-yī,第一
4,懂,dǒng,わかる
4,对,duì,正しい
4,房间,fángjiān,部屋
4,非常,fēicháng,非常に
4,服务员,fúwùyuán,店員
4,高,gāo,高い
4,告诉,gàosu,告げる
4,哥哥,gēge,兄
4,给,gěi,あげる
4,公共汽车,gōnggòng qìchē,バス
4,公司,gōngsī,会社
4,贵,guì,高い(値段)
4,过,guò,過ごす
4,还,hái,まだ
4,孩子,háizi,子供
4,好吃,hǎochī,おいしい
4,黑,hēi,黒い
4,红,hóng,赤い
4,欢迎,huānyíng,歓迎する
4,回答,huídá,答える
4,火车站,huǒchēzhàn,駅
4,鸡蛋,jīdàn,卵
4,件,jiàn,着、件
4,教室,jiàoshì,教室
4,姐姐,jiějiě,姉
4,介绍,jièshào,紹介する
4,进,jìn,入る
4,近,jìn,近い
4,就,jiù,すぐに
4,咖啡,kāfēi,コーヒー
4,开始,kāishǐ,始まる
4,考试,kǎoshì,試験
4,可能,kěnéng,かもしれない
4,可以,kěyǐ,〜できる
4,课,kè,授業
4,快,kuài,速い
4,快乐,kuàè,楽しい
4,累,lèi,疲れる
4,离,lí,〜から(離れる)
4,两,liǎng,2
4,路,lù,道
4,旅游,lǚyóu,旅行
4,卖,mài,売る
4,慢,màn,遅い
4,忙,máng,忙しい
4,每,měi,毎
4,妹妹,mèimei,妹
4,门,mén,ドア
4,面条,miàntiáo,麺
4,男,nán,男
4,您,nín,あなた(敬称)
4,牛奶,niúnǎi,牛乳
4,女,nǚ,女
4,旁边,pángbiān,隣
4,跑步,pǎobù,走る
4,便宜,piányi,安い
4,票,piào,切符
4,妻子,qīzi,妻
4,起床,qǐchuáng,起きる
4,千,qiān,千
4,铅笔,qiānbǐ,鉛筆
4,晴,qíng,晴れ
4,去年,qùnián,去年
4,让,ràng,〜させる
4,日,rì,日
4,上班,shàngbān,出勤
4,身体,shēntǐ,体
4,生病,shēngbìng,病気
4,生日,shēngrì,誕生日
4,时间,shíjiān,時間
4,事情,shìqing,事
4,手表,shǒubiǎo,時計
4,手机,shǒujī,携帯
4,送,sòng,送る
4,虽然,suīrán,〜だが
4,但是,dànshì,しかし
4,它,tā,それ
4,踢足球,tī zúqiú,サッカー
4,题,tí,問題
4,跳舞,tiàowǔ,踊る
4,外,wài,外
4,完,wán,終わる
4,玩,wán,遊ぶ
4,晚上,wǎnshang,夜
4,为什么,wèishénme,なぜ
4,问,wèn,問う
4,问题,wèntí,問題
4,西瓜,xīguā,スイカ
4,希望,xīwàng,希望
4,洗,xǐ,洗う
4,小时,xiǎoshí,時間
4,笑,xiào,笑う
4,新,xīn,新しい
4,姓,xìng,姓
4,休息,xiūxi,休む
4,雪,xuě,雪
4,颜色,yánsè,色
4,眼睛,yǎnjing,目
4,羊肉,yángròu,羊肉
4,药,yào,薬
4,要,yào,〜したい
4,也,yě,〜も
4,一下,yíxià,ちょっと
4,一起,yìqǐ,一緒に
4,已经,yǐjīng,すでに
4,意思,yìsi,意味
4,因为,yīnwèi,なぜなら
4,所以,suǒyǐ,だから
4,阴,yīn,曇り
4,游泳,yóuyǒng,泳ぐ
4,右边,yòubian,右
4,鱼,yú,魚
4,远,yuǎn,遠い
4,运动,yùndòng,運動
4,再,zài,再び
4,早上,zǎoshang,朝
4,丈夫,zhàngfu,夫
4,找,zhǎo,探す
4,着,zhe,(状態の継続)
4,真,zhēn,本当に
4,正在,zhèngzài,今〜している
4,知道,zhīdào,知っている
4,准备,zhǔnbèi,準備
4,走,zǒu,歩く
4,最,zuì,もっとも
4,左边,zuǒbian,左
4,阿姨,āyí,おばさん
4,啊,a,あ
4,矮,ǎi,低い
4,爱好,àihào,趣味
4,安静,ānjìng,静かだ
4,把,bǎ,〜を
4,搬,bān,運ぶ
4,班,bān,クラス
4,办法,bànfǎ,方法
4,办公室,bàngōngshì,事務所
4,半,bàn,半分
4,帮忙,bāngmáng,手伝う
4,包,bāo,包み
4,饱,bǎo,お腹いっぱい
4,北方,běifāng,北
4,被,bèi,〜される
4,鼻子,bízi,鼻
4,比较,bǐjiào,比較的
4,比赛,bǐsài,試合
4,笔记本,bǐjìběn,ノート
4,必须,bìxū,必ず
4,变化,biànhuà,変化
4,别人,biéren,他人
4,宾馆,bīnguǎn,ホテル
4,冰箱,bīngxiāng,冷蔵庫
4,不但,búdàn,〜だけでなく
4,而且,érqiě,そのうえ
4,菜单,càidān,メニュー
4,参加,cānjiā,参加
4,草,cǎo,草
4,层,céng,階
4,差,chà,劣る
4,超市,chāoshì,スーパー
4,衬衫,chènshān,シャツ
4,成绩,chéngjì,成績
4,城市,chéngshì,都市
4,迟到,chídào,遅刻
4,出现,chūxiàn,現れる
4,春,chūn,春
4,词典,cídiǎn,辞典
4,聪明,cōngming,賢い
4,打扫,dǎsǎo,掃除
4,打算,dǎsuan,つもり
4,带,dài,連れる
4,担心,dānxīn,心配
4,蛋糕,dàngāo,ケーキ
4,当然,dāngrán,当然
4,灯,dēng,灯り
4,低,dī,低い
4,地方,dìfang,場所
4,地铁,ìtiě,地下鉄
4,地图,dìtú,地図
4,电梯,diàntī,エレベーター
4,电子邮件,diànzǐ yóujiàn,メール
4,东,dōng,東
4,冬,dōng,冬
4,动物,dòngwù,動物
4,短,duǎn,短い
4,段,duàn,区切り
4,锻炼,duànliàn,鍛える
4,多么,duōme,なんと
4,饿,è,空腹
4,耳朵,ěrduo,耳
4,发,fā,送る
4,发烧,fāshāo,熱がある
4,发现,fāxiàn,発見
4,方便,fāngbiàn,便利
4,放心,fàngxīn,安心
4,分,fēn,分
4,复习,fùxí,復習
4,干净,gānjìng,綺麗
4,敢,gǎn,あえて
4,感冒,gǎnmào,風邪
4,刚才,gāngcái,さっき
4,根据,gēnjù,〜に基づき
4,跟,gēn,〜と
4,更,gèng,さらに
4,公园,gōngyuán,公園
4,故事,gùshi,話
4,刮风,guā fēng,風が吹く
4,关,guān,閉める
4,关系,guānxi,関係
4,关心,guānxīn,関心
4,关于,guānyú,〜について
4,国家,guójiā,国家
4,果汁,guǒzhī,ジュース
4,过去,guòqù,過去
4,害怕,hàipà,恐れる
4,河,hé,川
4,黑板,hēibǎn,黒板
4,护照,hùzhào,パスポート
4,花,huā,花、費やす
4,花园,huāyuán,庭
4,画,huà,描く
4,坏,huài,悪い
4,环境,huánjìng,環境
4,换,huàn,替える
4,黄,huáng,黄色
4,会议,huìyì,会議
4,或者,huòzhě,あるいは
4,几乎,jīhū,ほとんど
4,机会,jīhuì,機会
4,极,jí,極めて
4,记得,jìde,覚えている
4,季节,jìjié,季節
4,检查,jiǎnchá,検査
4,简单,jiǎndān,簡単
4,健康,jiànkāng,健康
4,讲,jiǎng,話す
4,角,jiǎo,角
4,脚,jiǎo,足
4,街道,jiēdào,通り
4,节目,jiémù,番組
4,节日,jiérì,祝日
4,结婚,jiéhūn,結婚
4,结束,jiéshù,終わる
4,解决,jiějué,解決
4,借,jiè,借りる
4,经常,jīngcháng,いつも
4,经理,jīnglǐ,社長、支配人
4,久,jiǔ,長い
4,旧,jiù,古い
4,句子,jùzi,文
4,决定,juédìng,決定
4,可爱,kě'ài,可愛い
4,渴,kě,喉が渇く
4,刻,kè,15分
4,客人,kèrén,客
4,空调,kōngtiáo,エアコン
4,口,kǒu,口
4,哭,kū,泣く
4,裤子,kùzi,ズボン
4,筷子,kuàizi,箸
4,蓝,lán,青
4,礼物,lǐwù,贈り物
4,历史,lìshǐ,歴史
4,脸,liǎn,顔
4,练习,liànxí,練習
4,辆,liàng,台
4,聊天,liáotiān,おしゃべり
4,了解,liǎojiě,了解
4,邻居,línjū,隣人
4,留学,liú xué,留学
4,楼,lóu,建物
4,绿,lǜ,緑
4,马,mǎ,馬
4,马上,mǎshàng,すぐ
4,满意,mǎnyì,満足
4,帽子,màozi,帽子
4,米,mǐ,米
4,面包,miànbāo,パン
4,明白,míngbai,わかる
4,拿,ná,持つ
4,奶奶,nǎinai,祖母
4,南,nán,南
4,难,nán,難しい
4,难过,nánguò,悲しい
4,年级,niánjí,学年
4,年轻,niánqīng,若い
4,鸟,niǎo,鳥
4,努力,nǔlì,努力
4,爬山,pá shān,登山
4,盘子,pánzi,皿
4,胖,pàng,太る
4,皮鞋,píxié,革靴
4,啤酒,píjiǔ,ビール
4,普通话,pǔtōnghuà,標準語
4,其实,qíshí,実は
4,其他,qítā,他
4,奇怪,qíguài,不思議
4,骑,qí,乗る
4,起飞,qǐfēi,離陸
4,起来,qǐlái,起きる
4,清楚,qīngchu,はっきり
4,请假,qǐng jià,休みをとる
4,秋,qiū,秋
4,裙子,qúnzi,スカート
4,然后,ránhòu,それから
4,热情,rèqíng,親切
4,认为,rènwéi,思う
4,认真,rènzhēn,真面目
4,容易,róngyì,簡単
4,如果,rúguǒ,もし
4,伞,sǎn,傘
4,上网,shàng wǎng,ネット
4,世界,shìjiè,世界
4,试,shì,試す
4,瘦,shòu,痩せる
4,叔叔,shūshu,おじさん
4,舒服,shūfu,心地よい
4,树,shù,木
4,数学,shùxué,数学
4,刷牙,shuā yá,歯磨き
4,双,shuāng,対
4,水平,shuǐpíng,レベル
4,司机,sījī,運転手
4,太阳,tàiyáng,太陽
4,糖,táng,砂糖、飴
4,特别,tèbié,特別
4,疼,téng,痛い
4,提高,tígāo,高める
4,体育,tǐyù,体育
4,甜,tián,甘い
4,条,tiáo,条
4,同事,tóngshì,同僚
4,同意,tóngyì,同意
4,头发,tóufa,髪
4,突然,tūrán,突然
4,图书馆,túshūguǎn,図書館
4,腿,tuǐ,足
4,完成,wánchéng,完成
4,碗,wǎn,碗
4,万,wàn,万
4,忘记,wàngjì,忘れる
4,为,wèi,〜のために
4,为了,wèile,〜のために
4,位,wèi,位
4,文化,wénhuà,文化
4,西,xī,西
4,习惯,xíguàn,習慣
4,洗手间,xǐshǒujiān,トイレ
4,洗澡,xǐ zǎo,風呂
4,夏,xià,夏
4,先,xiān,先
4,相信,xiāngxìn,信じる
4,香蕉,xiāngjiāo,バナナ
4,像,xiàng,似る
4,小心,xiǎoxīn,注意
4,校长,xiàozhǎng,校長
4,新闻,xīnwén,ニュース
4,新鲜,xīnxiān,新鮮
4,信用卡,xìnyòngkǎ,クレカ
4,行李箱,xínglixiāng,トランク
4,熊猫,xióngmāo,パンダ
4,需要,xūyào,必要
4,选择,xuǎnzé,選択
4,眼镜,yǎnjìng,メガネ
4,要求,yāoqiú,要求
4,爷爷,yéye,祖父
4,一定,yídìng,一定
4,一共,yígòng,合計
4,一会儿,yìhuìr,少しの間
4,一样,yíyàng,同様
4,一直,yìzhí,ずっと
4,以后,yǐhòu,以後
4,以前,yǐqián,以前
4,以为,yǐwéi,思う
4,音乐,yīnyuè,音楽
4,银行,yínháng,銀行
4,饮料,yǐnliào,飲料
4,应该,yīnggāi,当然
4,影响,yǐngxiǎng,影響
4,用,yòng,用いる
4,游戏,yóuxì,遊戯
4,有名,yǒumíng,有名
4,又,yòu,又
4,遇到,yùdào,遇う
4,元,yuán,元
4,愿意,yuànyì,願う
4,越,yuè,越
4,月亮,yuèliang,月
4,云,yún,雲
4,站,zhàn,駅
4,着急,zháojí,急ぐ
4,照顾,zhàogù,世話
4,照片,zhàopiàn,写真
4,照相机,zhàoxiàngjī,カメラ
4,只,zhǐ,只
4,只有,zhǐyǒu,のみ
4,中间,zhōngjiān,中間
4,中文,Zhōngwén,中文
4,终于,zhōngyú,ついに
4,种,zhǒng,種
4,重要,zhòngyào,重要
4,周末,zhōumò,週末
4,主要,zhǔyào,主要
4,注意,zhùyì,注意
4,字典,zìdiǎn,字典
4,自己,zìjǐ,自己
4,总是,zǒngshì,いつも
4,最近,zuìjìn,最近
4,作业,zuòyè,宿題
4,爱情,àiqíng,愛情
4,安排,ānpái,手配
4,安全,ānquán,安全
4,暗,àn,暗い
4,按时,ànshí,時間通り
4,按照,ànzhào,〜に従って
4,百分之,bǎifēnzhī,パーセント
4,棒,bàng,すごい
4,包子,bāozi,肉まん
4,保护,bǎohù,保護
4,保证,bǎozhèng,保証
4,抱,bào,抱く
4,抱歉,bàoqiàn,申し訳ない
4,报名,bào míng,申し込む
4,倍,bèi,倍
4,本来,běnlái,本来
4,笨,bèn,愚か
4,比如,bǐrú,例えば
4,毕业,bì yè,卒業
4,遍,biàn,回
4,标准,biāozhǔn,標準
4,表格,biǎogé,表
4,表示,biǎoshì,表示
4,表演,biǎoyǎn,演技
4,表扬,biǎoyáng,褒める
4,饼干,bǐnggān,クッキー
4,并且,bìngqiě,かつ
4,博士,bóshì,博士
4,不得不,bùdébù,せざるを得ない
4,不管,bùguǎn,〜に関わらず
4,不仅,bùjǐn,〜だけでなく
4,部分,bùfen,部分
4,擦,cā,拭く
4,猜,cāi,当てる
4,材料,cáiliào,材料
4,参观,cānguān,見学
4,餐厅,cāntīng,レストラン
4,厕所,cèsuǒ,トイレ
4,差不多,chàbuduō,ほぼ同じ
4,长城,Chángchéng,万里の長城
4,长江,Chángjiāng,揚子江
4,尝,cháng,味わう
4,场,chǎng,場面
4,超过,chāoguò,超える
4,成功,chénggōng,成功
4,成为,chéngwéi,〜になる
4,诚实,chéngshí,誠実
4,乘坐,chéngzuò,乗る
4,吃惊,chī jīng,驚く
4,重新,chóngxīn,再び
4,抽烟,chōu yān,タバコを吸う
4,出差,chū chāi,出張
4,出发,chūfā,出発
4,出生,chūshēng,誕生
4,厨房,chúfáng,台所
4,传真,chuánzhēn,ファックス
4,窗户,chuānghu,窓
4,词语,cíyǔ,単語
4,从来,cónglái,これまで
4,粗心,cūxīn,不注意
4,答案,dá'àn,答え
4,打扮,dǎban,着飾る
4,打扰,dǎrǎo,邪魔する
4,打印,dǎyìn,印刷
4,打招呼,dǎ zhāohu,挨拶する
4,打折,dǎ zhé,割引
4,打针,dǎ zhēn,注射
4,大概,dàgài,おそらく
4,大使馆,dàshǐguǎn,大使館
4,大约,dàyuē,約
4,大夫,dàifu,医者
4,戴,dài,身につける
4,当时,dāngshí,当時
4,刀,dāo,ナイフ
4,导游,dǎoyóu,ガイド
4,到处,dàochù,至る所
4,到底,dàodǐ,一体全体
4,道歉,dào qiàn,謝る
4,得意,déyì,得意げ
4,登机牌,dēngjīpái,搭乗券
4,低,dī,低い
4,底,dǐ,底
4,地点,dìdiǎn,地点
4,地球,dìqiú,地球
4,地址,dìzhǐ,住所
4,调查,diàochá,調査
4,掉,diào,落ちる
4,丢,diū,失う
4,动作,dòngzuò,動作
4,堵车,dǔ chē,渋滞
4,肚子,dùzi,腹
4,断,duàn,断つ
4,对话,duìhuà,対話
4,对面,duìmiàn,向かい
4,顿,dùn,回、頓
4,朵,duǒ,花
4,儿童,értóng,子供
4,而,ér,しかし、そして
4,发生,fāshēng,発生
4,发展,fāzhǎn,発展
4,法律,fǎlǜ,法律
4,翻译,fānyì,翻訳
4,烦恼,fánnǎo,悩み
4,反对,fǎnduì,反対
4,反映,fǎnyìng,反映
4,范围,fànwéi,範囲
4,方法,fànfǎ,方法
4,方面,fāngmiàn,方面
4,方向,fāngxiàng,方向
4,房东,fángdōng,家主
4,放弃,fàngqì,放棄
4,放暑假,fàng shǔjià,夏休み
4,放松,fàngsōng,リラックス
4,费用,fèiyòng,費用
4,份,fèn,部
4,丰富,fēngfù,豊富
4,风景,fēngjǐng,風景
4,否则,fǒuzé,さもなければ
4,符合,fúhé,合致する
4,富,fù,富
4,附近,fùjìn,付近
4,父亲,fùqīn,父親
4,复印,fùyìn,コピー
4,复杂,fùzá,複雑
4,负责,fùzé,責任
4,改变,gǎibiàn,変える
4,改革,gǎigé,改革
4,改进,gǎijìn,改善
4,改善,gǎishàn,改善
4,改正,gǎizhèng,修正
4,干杯,gān bēi,乾杯
4,感到,gǎndào,感じる
4,感情,gǎnqíng,感情
4,感谢,gǎnxiè,感謝
4,赶紧,gǎnjǐn,急いで
4,赶快,gǎnkuài,早く
4,敢,gǎn,敢えて
4,感激,gǎnjī,感激
4,感想,gǎnxiǎng,感想
4,干,gàn,やる
4,刚才,gāngcái,今しがた
4,钢笔,gāngbǐ,万年筆
4,高,gāo,高い
4,高级,gāojí,高級
4,高速公路,gāosù gōnglù,高速道路
4,个子,gèzi,背丈
4,各,gè,各
4,性格,xìnggé,性格
4,功夫,gōngfu,カンフー
4,工资,gōngzī,給料
4,公里,gōnglǐ,キロ
4,共同,gòngtóng,共同
4,购物车,gòuwùchē,カート
4,够,gòu,足りる
4,估計,gūjì,推定
4,鼓励,gǔlì,励ます
4,鼓掌,gǔ zhǎng,拍手
4,固定,gùdìng,固定
4,故意,gùyì,故意
4,顾客,gùkè,顧客
4,关,guān,閉める
4,关键,guānjiàn,鍵
4,关系,guānxi,関係
4,关心,guānxīn,関心
4,关于,guānyú,〜について
4,官,guān,役人
4,观点,guāndiǎn,観点
4,观察,guānchá,観察
4,观点,guāndiǎn,観点
4,观念,guānniàn,概念
4,观众,guānzhòng,観客
4,管理,guǎnlǐ,管理
4,管,guǎn,管
4,冠军,guànjūn,チャンピオン
4,罐头,guàntou,缶詰
4,光,guāng,光
4,广播,guǎngbō,放送
4,广告,guǎnggào,広告
4,逛,guàng,ぶらつく
4,规定,guīdìng,規定
4,规范,guīfàn,規範
4,规则,guīzé,規則
4,贵,guì,高い
4,柜台,guìtái,カウンター
4,滚,gǔn,転がる
4,锅,guō,鍋
4,国籍,guójí,国籍
4,国际,guójì,国際
4,果然,guǒrán,案の定
4,果实,guǒshí,果実
4,过程,guòchéng,過程
4,过分,guòfèn,過度
4,过期,guò qī,期限切れ
4,过去,guòqù,過去
4,嗨,hāi,ハイ
4,还,hái,まだ
4,还是,háishi,あるいは
4,孩子,háizi,子供
4,害怕,hàipà,恐れる
4,海洋,hǎiyáng,海洋
4,害羞,hài xiū,恥ずかしがる
4,寒假,hánjià,冬休み
4,汗,hàn,汗
4,航班,hángbān,便
4,好处,hǎochu,利点
4,好像,hǎoxiàng,〜のようだ
4,号码,hàomǎ,番号
4,合格,hégé,合格
4,合适,héshì,適当
4,合同,hétong,契約
4,河,hé,川
4,和,hé,〜と
4,和平,hépíng,平和
4,核心,héxīn,核心
4,盒子,hézi,箱
4,贺卡,hèkǎ,カード
4,黑,hēi,黒い
4,黑板,hēibǎn,黒板
4,狠,hěn,ひどい
4,恨,hèn,恨む
4,横,héng,横
4,红,hóng,赤い
4,猴子,hóuzi,猿
4,厚,hòu,厚い
4,后悔,hòuhuǐ,後悔
4,后来,hòulái,その後
4,后面,hòumiàn,後ろ
4,突然,tūrán,突然
4,忽视,hūshì,無視
4,护士,hùshi,看護師
4,护照,hùzhào,旅券
4,互相,hùxiāng,互いに
4,花,huā,花
4,花生,huāshēng,ピーナッツ
4,滑,huá,滑る
4,画,huà,画
4,画儿,huàr,絵
4,话题,huàtí,話題
4,化学,huàxué,化学
4,怀念,huáiniàn,懐かしむ
4,怀疑,huáiyí,疑う
4,欢迎,huānyíng,歓迎
4,坏,huài,悪い
4,环境,huánjìng,環境
4,换,huàn,換える
4,幻想,huànxiǎng,幻想
4,慌张,huāngzhāng,慌てる
4,黄,huáng,黄色
4,黄金,huángjīn,黄金
4,灰,huī,灰
4,灰尘,huīchén,埃
4,恢复,huīfù,回復
4,挥,huī,振る
4,回来,huí lai,戻る
4,回答,huídá,答える
4,回,huí,回
4,回忆,huíyì,思い出
4,汇率,huìlǜ,為替レート
4,会议,huìyì,会議
4,会,huì,〜できる
4,婚礼,hūnlǐ,結婚式
4,婚姻,hūnyīn,婚姻
4,活跃,huóyuè,活発
4,火,huǒ,火
4,火车站,huǒchēzhàn,駅
4,伙伴,huǒbàn,仲間
4,或者,huòzhě,あるいは
4,获得,huòdé,獲得
4,基础,jīchǔ,基礎
4,激动,jīdòng,感動
4,几乎,jīhū,ほとんど
4,机会,jīhuì,機会
4,积极,jījí,積極
4,积累,jīlěi,蓄積
4,及其,jíqí,極めて
4,集合,jíhé,集合
4,计划,jìhuà,計画
4,季度,jìdù,四半期
4,记得,jìde,覚えている
4,记者,jìzhě,記者
4,纪念,jìniàn,記念
4,技术,jìshù,技術
4,既然,jìrán,〜以上は
4,继续,jìxù,継続
4,寄,jì,出す
4,加,jiā,加える
4,加班,jiā bān,残業
4,价格,jiàgé,価格
4,家伙,jiāhuo,あいつ
4,家具,jiājù,家具
4,家,jiā,家
4,家庭,jiātíng,家庭
4,家乡,jiāxiāng,故郷
4,假如,jiǎrú,もし
4,假,jiǎ,偽物
4,假装,jiǎzhuāng,ふりをする
4,嫁,jià,嫁ぐ
4,价格,jiàgé,価格
4,价值,jiàzhí,価値
4,坚持,jiānchí,堅持
4,检查,jiǎnchá,検査
4,简单,jiǎndān,簡単
4,简历,jiǎnlì,履歴書
4,减肥,jiǎn féi,ダイエット
4,减少,jiǎnshǎo,減少
4,建议,jiànyì,提案
4,将来,jiānglái,将来
4,奖金,jiǎngjīn,ボーナス
4,降,jiàng,降
4,降低,jiàngdī,低下
4,降落,jiàngluò,着陸
4,酱油,jiàngyóu,醤油
4,教,jiāo,教える
4,交,jiāo,渡す
4,交流,jiāoliú,交流
4,交际,jiāojì,交際
4,交通,jiāotōng,交通
4,骄傲,jiāo'ào,誇らしい
4,角,jiǎo,角
4,脚,jiǎo,足
4,脚步,jiǎobù,足取り
4,角度,jiǎodù,角度
4,角落,jiǎoluò,隅
4,搅拌,jiǎobàn,かき混ぜる
4,饺子,jiǎozi,餃子
4,教,jiāo,教える
4,教授,jiàoshòu,教授
4,教师,jiàoshī,教師
4,教学,jiàoxué,教育
4,教育,jiàoyù,教育
4,教训,jiàoxùn,教訓
4,叫,jiào,叫ぶ
4,阶段,jiēduàn,段階
4,结构,jiégòu,構造
4,结果,jiéguǒ,結果
4,结合,jiéhé,結合
4,结婚,jiéhūn,結婚
4,结束,jiéshù,終了
4,节约,jiéyuē,節約
4,节目,jiémù,番組
4,节日,jiérì,祝日
4,阶段,jiēduàn,段階
4,解,jiě,解く
4,解决,jiějué,解決
4,解释,jiěshì,解釈
4,解说,jiěshuō,解説
4,姐,jiě,姉
4,姐姐,jiějiě,姉
4,借,jiè,借りる
4,借助,jièzhù,助けを借りる
4,巾,jīn,巾
4,斤,jīn,斤
4,金,jīn,金
4,今,jīn,今
4,今天,jīntiān,今日
4,尽管,jǐnguǎn,〜にも関わらず
4,紧,jǐn,きつい
4,紧急,jǐnjí,緊急
4,紧张,jǐnzhāng,緊張
4,近,jìn,近い
4,进,jìn,入る
4,进步,jìnbù,進歩
4,进攻,jìngōng,攻撃
4,进口,jìn kǒu,輸入
4,进行,jìnxíng,進行
4,禁,jìn,禁じる
4,禁止,jìnzhǐ,禁止
4,精彩,jīngcǎi,素晴らしい
4,精,jīng,精
4,精力,jīnglì,エネルギー
4,精神,jīngshén,精神
4,经济,jīngjì,経済
4,经历,jīnglì,経験
4,经验,jīngyàn,経験
4,经营,jīngyíng,経営
4,惊,jīng,驚
4,惊喜,jīngxǐ,サプライズ
4,警察,jǐngchá,警察
4,风景,fēngjǐng,風景
4,景色,jǐngsè,景色
4,竟,jìng,意外にも
